lat,lon,n_px,area_km2,early,late,diff,sum_diff,tile
40.324,106.9961,30,7.5,4.9,27.3,22.4,671.0,40.0_106.0
30.0446,103.7601,15,3.75,4.0,48.7,44.7,670.0,30.0_102.0
25.5138,118.2829,16,4.0,5.8,47.7,41.9,670.0,24.0_118.0
34.1487,109.1056,21,5.25,2.6,34.5,31.9,670.0,34.0_108.0
26.8747,107.4932,15,3.75,4.7,49.2,44.5,668.0,26.0_106.0
37.7652,117.6254,20,5.0,7.3,40.7,33.4,667.0,36.0_116.0
39.6093,111.185,13,3.25,10.9,62.0,51.1,664.0,38.0_110.0
25.8972,119.5576,13,3.25,13.5,64.7,51.1,664.0,24.0_118.0
38.2042,106.6168,20,5.0,8.9,41.9,33.0,661.0,38.0_106.0
40.4253,114.0557,24,6.0,6.2,33.7,27.5,660.0,40.0_114.0
27.2264,105.8316,19,4.75,4.6,39.4,34.7,660.0,26.0_104.0
28.1545,121.27,30,7.5,4.5,26.1,21.6,649.0,28.0_120.0
31.0425,117.95,22,5.5,7.8,37.2,29.4,648.0,30.0_116.0
36.2583,109.59,2,0.5,0.2,322.3,322.0,644.0,36.0_108.0
38.8971,113.6501,16,4.0,3.8,44.0,40.2,643.0,38.0_112.0
30.7983,103.8401,17,4.25,11.4,48.9,37.5,637.0,30.0_102.0
38.7501,109.6716,9,2.25,10.4,80.9,70.5,635.0,38.0_108.0
34.0403,114.8355,20,5.0,8.8,40.5,31.7,633.0,34.0_114.0
30.783,120.7852,3,0.75,20.9,231.0,210.1,630.0,30.0_120.0
29.6611,106.6754,18,4.5,7.2,42.3,35.0,630.0,28.0_106.0
29.0598,121.9381,21,5.25,0.6,30.6,29.9,629.0,28.0_120.0
32.282,119.3139,35,8.75,3.4,21.4,17.9,628.0,32.0_118.0
25.8015,114.8578,27,6.75,5.3,28.4,23.1,624.0,24.0_114.0
37.6271,105.2497,17,4.25,5.6,42.2,36.6,623.0,36.0_104.0
32.2425,119.3033,18,4.5,4.9,39.4,34.4,620.0,32.0_118.0
25.989,119.4093,9,2.25,21.4,90.2,68.8,619.0,24.0_118.0
27.3492,103.7419,4,1.0,52.6,206.8,154.2,617.0,26.0_102.0
37.9742,109.2786,23,5.75,6.4,33.0,26.6,612.0,36.0_108.0
34.442,119.731,14,3.5,2.2,45.8,43.6,611.0,34.0_118.0
35.1977,119.0405,9,2.25,18.5,86.3,67.8,610.0,34.0_118.0
38.4434,118.4316,6,1.5,32.3,133.9,101.7,610.0,38.0_118.0
24.9737,102.3262,13,3.25,2.4,49.3,46.9,610.0,24.0_102.0
30.9131,114.0182,23,5.75,7.2,33.6,26.4,607.0,30.0_114.0
31.5944,119.9392,14,3.5,7.1,50.3,43.2,605.0,30.0_118.0
30.9459,104.1378,30,7.5,4.3,24.4,20.1,603.0,30.0_104.0
33.573,119.2098,27,6.75,4.0,26.3,22.3,602.0,32.0_118.0
30.8894,121.0954,19,4.75,6.0,37.5,31.6,600.0,30.0_120.0
30.0539,121.9661,12,3.0,7.8,57.7,49.8,598.0,30.0_120.0
42.059,121.8345,23,5.75,1.1,27.1,25.9,597.0,42.0_120.0
25.7528,114.8342,26,6.5,4.7,27.7,23.0,597.0,24.0_114.0
37.5329,118.249,9,2.25,14.1,80.3,66.3,596.0,36.0_118.0
24.5442,118.3607,5,1.25,19.3,137.2,117.9,590.0,24.0_118.0
40.7155,107.4319,34,8.5,1.8,19.1,17.3,589.0,40.0_106.0
38.1657,110.2952,6,1.5,0.4,98.1,97.7,586.0,38.0_110.0
35.3524,115.9832,9,2.25,19.4,84.5,65.1,585.0,34.0_114.0
30.0969,122.2712,12,3.0,9.5,57.8,48.3,580.0,30.0_122.0
29.9296,106.7985,9,2.25,0.7,65.2,64.5,580.0,28.0_106.0
32.0659,112.2779,18,4.5,9.1,41.1,32.0,577.0,32.0_112.0
30.6061,122.1111,5,1.25,25.1,140.3,115.2,576.0,30.0_122.0
35.1587,112.6027,16,4.0,3.8,39.6,35.8,573.0,34.0_112.0
25.7849,114.8829,13,3.25,13.7,57.7,44.0,572.0,24.0_114.0
30.8703,104.6112,26,6.5,3.7,25.6,21.9,570.0,30.0_104.0
26.3705,119.7594,10,2.5,18.6,75.7,57.0,570.0,26.0_118.0
30.1633,115.1246,33,8.25,3.3,20.4,17.1,566.0,30.0_114.0
32.6425,115.6693,21,5.25,5.5,32.4,27.0,566.0,32.0_114.0
31.5356,104.6565,25,6.25,5.9,28.5,22.6,565.0,30.0_104.0
35.6182,109.456,12,3.0,0.4,47.5,47.1,565.0,34.0_108.0
36.7385,104.7891,25,6.25,5.1,27.6,22.5,561.0,36.0_104.0
30.5926,107.9672,5,1.25,0.3,112.2,111.9,559.0,30.0_106.0
33.02,115.2428,28,7.0,4.0,23.9,19.9,558.0,32.0_114.0
29.3748,106.3455,21,5.25,6.0,32.6,26.6,558.0,28.0_106.0
33.0266,112.2386,16,4.0,11.1,45.8,34.6,554.0,32.0_112.0
30.2668,114.0466,14,3.5,7.1,46.6,39.5,553.0,30.0_114.0
31.1131,121.8048,4,1.0,21.4,159.5,138.1,552.0,30.0_120.0
35.7253,111.6885,18,4.5,7.3,38.0,30.7,552.0,34.0_110.0
27.7043,103.2578,18,4.5,3.5,34.2,30.7,552.0,26.0_102.0
35.7654,115.3708,15,3.75,5.8,42.5,36.7,551.0,34.0_114.0
30.9331,120.1407,12,3.0,14.0,59.7,45.7,549.0,30.0_120.0
30.5791,117.2234,23,5.75,4.7,28.5,23.8,547.0,30.0_116.0
32.0777,121.6358,8,2.0,21.0,89.4,68.4,547.0,32.0_120.0
39.4509,112.3627,16,4.0,11.7,45.7,34.0,545.0,38.0_112.0
29.9897,104.1833,13,3.25,8.6,50.5,41.9,544.0,28.0_104.0
40.739,107.4008,10,2.5,13.5,68.0,54.4,544.0,40.0_106.0
40.0542,116.2142,16,4.0,10.7,44.7,34.0,544.0,40.0_116.0
36.6277,114.5698,20,5.0,10.0,37.1,27.2,543.0,36.0_114.0
38.1652,109.5433,9,2.25,11.2,71.6,60.4,543.0,38.0_108.0
26.2615,105.4049,12,3.0,1.7,46.8,45.2,542.0,26.0_104.0
30.7632,107.2196,22,5.5,3.4,28.0,24.6,541.0,30.0_106.0
39.5281,106.5608,13,3.25,4.4,45.9,41.5,539.0,38.0_106.0
40.7415,111.7155,21,5.25,7.5,33.1,25.6,538.0,40.0_110.0
32.093,118.9889,14,3.5,9.4,47.7,38.3,536.0,32.0_118.0
38.1273,114.3757,17,4.25,3.7,35.2,31.5,535.0,38.0_114.0
36.4391,109.0565,11,2.75,0.6,49.0,48.4,533.0,36.0_108.0
28.8703,120.7963,19,4.75,3.9,31.9,28.0,532.0,28.0_120.0
30.3581,121.2457,23,5.75,5.5,28.5,23.1,530.0,30.0_120.0
31.1617,108.3407,19,4.75,6.9,34.7,27.8,528.0,30.0_108.0
40.9914,113.3129,19,4.75,1.9,29.6,27.7,527.0,40.0_112.0
28.5606,115.7852,15,3.75,8.9,43.8,34.9,523.0,28.0_114.0
40.9475,113.2551,14,3.5,1.5,38.7,37.2,521.0,40.0_112.0
31.6996,121.7905,16,4.0,4.3,36.7,32.4,519.0,30.0_120.0
31.7855,121.0666,11,2.75,9.7,56.9,47.2,519.0,30.0_120.0
34.0495,108.6886,17,4.25,4.3,34.7,30.4,517.0,34.0_108.0
29.199,119.8741,21,5.25,7.5,31.9,24.4,513.0,28.0_118.0
34.4553,113.0765,22,5.5,6.2,29.4,23.3,512.0,34.0_112.0
39.0005,113.5824,24,6.0,3.9,25.1,21.2,509.0,38.0_112.0
31.2248,114.0324,30,7.5,3.7,20.6,16.9,508.0,30.0_114.0
30.9537,113.5942,9,2.25,6.1,62.5,56.4,507.0,30.0_112.0
39.9279,120.7987,5,1.25,20.7,121.9,101.2,506.0,38.0_120.0
39.1338,110.3266,10,2.5,6.7,57.0,50.3,503.0,38.0_110.0
40.651,120.7923,26,6.5,3.8,23.1,19.3,502.0,40.0_120.0
37.7081,112.527,5,1.25,32.0,131.7,99.7,499.0,36.0_112.0
37.1004,119.0425,10,2.5,10.5,60.2,49.8,498.0,36.0_118.0
30.6183,122.0893,3,0.75,35.3,200.9,165.6,497.0,30.0_122.0
34.2635,120.2594,17,4.25,3.4,32.6,29.2,497.0,34.0_120.0
35.5183,116.9178,31,7.75,3.3,19.3,16.0,496.0,34.0_116.0
38.3023,116.9178,27,6.75,5.1,23.5,18.4,495.0,38.0_116.0
31.4321,117.1336,6,1.5,0.6,83.0,82.4,495.0,30.0_116.0
28.3409,105.2392,14,3.5,4.2,39.6,35.4,495.0,28.0_104.0
30.3604,106.9499,24,6.0,1.8,22.4,20.6,494.0,30.0_106.0
31.4964,104.6341,24,6.0,5.7,26.3,20.6,494.0,30.0_104.0
42.452,107.5289,26,6.5,0.4,19.4,19.0,493.0,42.0_106.0
30.3106,106.9052,22,5.5,4.6,27.0,22.4,492.0,30.0_106.0
40.4028,113.0083,11,2.75,8.0,52.5,44.5,490.0,40.0_112.0
31.6589,119.758,31,7.75,2.5,18.3,15.8,489.0,30.0_118.0
31.1236,121.7786,6,1.5,26.0,107.6,81.5,489.0,30.0_120.0
30.8894,113.9197,19,4.75,7.9,33.7,25.8,489.0,30.0_112.0
36.5514,104.2664,22,5.5,5.1,27.1,22.0,485.0,36.0_104.0
24.815,118.7364,7,1.75,6.4,75.6,69.2,485.0,24.0_118.0
36.5244,104.2186,16,4.0,6.4,36.7,30.3,484.0,36.0_104.0
25.1521,103.0051,9,2.25,6.8,60.4,53.7,483.0,24.0_102.0
39.0394,111.0391,15,3.75,10.5,42.6,32.1,481.0,38.0_110.0
34.4032,108.6804,9,2.25,11.7,65.0,53.4,480.0,34.0_108.0
29.5819,103.7715,12,3.0,14.5,54.5,40.0,480.0,28.0_102.0
38.8585,117.7427,13,3.25,1.5,38.2,36.8,478.0,38.0_116.0
29.9214,121.9575,6,1.5,25.9,105.5,79.6,478.0,28.0_120.0
33.2743,120.7917,9,2.25,2.0,55.1,53.2,478.0,32.0_120.0
39.6702,119.3122,19,4.75,2.8,27.9,25.1,476.0,38.0_118.0
37.0592,119.1393,9,2.25,4.3,57.0,52.7,475.0,36.0_118.0
25.5266,119.4178,32,8.0,3.3,18.1,14.8,475.0,24.0_118.0
30.0963,103.8673,17,4.25,5.1,33.0,27.9,474.0,30.0_102.0
27.0822,107.4377,16,4.0,1.8,31.5,29.6,474.0,26.0_106.0
40.9704,110.1102,9,2.25,12.5,65.2,52.6,474.0,40.0_110.0
29.5079,106.1876,17,4.25,4.8,32.7,27.9,473.0,28.0_106.0
30.2545,122.2535,9,2.25,15.1,67.6,52.5,472.0,30.0_122.0
30.9732,113.8796,24,6.0,1.8,21.4,19.6,470.0,30.0_112.0
35.0956,111.1007,26,6.5,4.1,22.1,18.1,470.0,34.0_110.0
30.7403,111.4721,22,5.5,1.7,23.0,21.3,468.0,30.0_110.0
28.9556,118.8028,14,3.5,7.2,40.7,33.4,468.0,28.0_118.0
38.1047,114.5415,10,2.5,13.8,60.5,46.7,467.0,38.0_114.0
39.1611,117.7529,17,4.25,4.5,31.7,27.2,463.0,38.0_116.0
24.5694,103.7789,23,5.75,1.9,22.0,20.1,462.0,24.0_102.0
37.6309,120.31,10,2.5,14.9,60.9,46.0,460.0,36.0_120.0
37.6492,121.1344,19,4.75,4.6,28.7,24.1,459.0,36.0_120.0
36.3247,112.8553,10,2.5,5.7,51.4,45.8,458.0,36.0_112.0
30.9074,104.1451,20,5.0,5.5,28.4,22.9,458.0,30.0_104.0
29.3757,103.852,9,2.25,9.2,60.0,50.8,457.0,28.0_102.0
40.5391,111.8187,24,6.0,5.6,24.6,19.0,456.0,40.0_110.0
