name,d,VV,VH
cn_zhangbei_r03,2019-01-10,-15.106990728374354,-35.91114448962533
cn_zhangbei_r05,2019-01-10,-15.311765962564445,-42.632060729342214
cn_zhangbei_r01,2019-01-10,-12.87830048313221,-29.361031016629465
cn_zhangbei_r06,2019-01-10,-8.028489214909223,-18.382515029055824
cn_zhangbei_r07,2019-01-10,-11.146567744642331,-23.727832514651773
cn_zhangbei_r02,2019-01-10,-14.27553334473857,-31.868163675935126
cn_zhangbei_r03,2019-01-22,-15.338113528928552,-28.489645964539964
cn_zhangbei_r05,2019-01-22,-15.236857117511104,-32.63882071790423
cn_zhangbei_r01,2019-01-22,-12.954267642102847,-24.22772966854083
cn_zhangbei_r06,2019-01-22,-7.833747544998207,-16.936930663589774
cn_zhangbei_r07,2019-01-22,-11.186535882909096,-20.625629736551744
cn_zhangbei_r02,2019-01-22,-14.439189056705063,-24.546679077775714
cn_zhangbei_r03,2019-02-03,-15.148251450924203,-26.504824659145548
cn_zhangbei_r05,2019-02-03,-16.07677073014003,-31.710428997779793
cn_zhangbei_r01,2019-02-03,-13.401702229042401,-24.89558710462367
cn_zhangbei_r06,2019-02-03,-7.840277473032445,-16.816030894511073
cn_zhangbei_r07,2019-02-03,-11.433560899601897,-20.793154291471645
cn_zhangbei_r02,2019-02-03,-15.255986522329447,-24.44132154535641
cn_zhangbei_r03,2019-02-27,-14.290380489213739,-27.453608442743576
cn_zhangbei_r05,2019-02-27,-14.05333744913585,-29.839686015286908
cn_zhangbei_r01,2019-02-27,-12.442572909175182,-23.726159476659053
cn_zhangbei_r06,2019-02-27,-7.921398576872909,-17.816421389709948
cn_zhangbei_r07,2019-02-27,-10.960353396243095,-21.819304122094167
cn_zhangbei_r02,2019-02-27,-13.451186221448854,-24.11211306319983
cn_zhangbei_r03,2019-03-11,-15.290214494129069,-37.5933165208275
cn_zhangbei_r05,2019-03-11,-14.859707792695042,-40.88761946666689
cn_zhangbei_r01,2019-03-11,-12.819144950133875,-29.5187111202077
cn_zhangbei_r06,2019-03-11,-7.984695522416866,-18.41361505574611
cn_zhangbei_r07,2019-03-11,-11.15472889441339,-24.845134359219756
cn_zhangbei_r02,2019-03-11,-13.989945643385228,-27.830434241101393
cn_zhangbei_r03,2019-03-23,-14.747462817178711,-28.46220335274022
cn_zhangbei_r05,2019-03-23,-15.478917099933284,-31.421338292691203
cn_zhangbei_r01,2019-03-23,-12.490658563288058,-23.628285304927843
cn_zhangbei_r06,2019-03-23,-7.119026758301795,-16.196522063686317
cn_zhangbei_r07,2019-03-23,-11.03769076412145,-20.69760648392599
cn_zhangbei_r02,2019-03-23,-14.25112500610187,-24.3374046999657
cn_zhangbei_r03,2019-04-04,-14.991262775949144,-25.58742189361208
cn_zhangbei_r05,2019-04-04,-15.556868934437247,-30.417915118990607
cn_zhangbei_r01,2019-04-04,-12.751474978410103,-24.079149136229887
cn_zhangbei_r06,2019-04-04,-7.6486405827982935,-16.70912561783412
cn_zhangbei_r07,2019-04-04,-10.975037688219544,-20.933943693591466
cn_zhangbei_r02,2019-04-04,-14.228897297287597,-24.92339453787734
cn_zhangbei_r03,2019-04-16,-11.201399209599348,-14.139809709349134
cn_zhangbei_r05,2019-04-16,-14.916210017008497,-26.98243646476114
cn_zhangbei_r01,2019-04-16,-12.606018209499867,-20.633484614497885
cn_zhangbei_r06,2019-04-16,-7.4818633558686045,-16.061218994561106
cn_zhangbei_r07,2019-04-16,-10.976088348289657,-19.782992672916606
cn_zhangbei_r02,2019-04-16,-13.580250166901939,-20.955031410561872
cn_zhangbei_r03,2019-04-28,-12.51288248037297,-24.696510396503776
cn_zhangbei_r05,2019-04-28,-10.973317432827727,-26.035637087536298
cn_zhangbei_r01,2019-04-28,-9.821078878093441,-22.491791011135835
cn_zhangbei_r06,2019-04-28,-6.842102362576032,-17.437403387428333
cn_zhangbei_r07,2019-04-28,-9.412827044498789,-20.490335141218505
cn_zhangbei_r02,2019-04-28,-10.59830315611169,-20.62410114038745
cn_zhangbei_r03,2019-05-10,-13.115872182650547,-24.56654228864831
cn_zhangbei_r05,2019-05-10,-13.287808567959772,-26.77870814898802
cn_zhangbei_r01,2019-05-10,-12.225707714978432,-23.895580381119878
cn_zhangbei_r06,2019-05-10,-7.181506597846949,-16.076727579279815
cn_zhangbei_r07,2019-05-10,-10.495352201958369,-20.547837607297268
cn_zhangbei_r02,2019-05-10,-13.094045793262676,-23.563151337155446
cn_zhangbei_r03,2019-05-22,-12.334097041733465,-32.50626146668606
cn_zhangbei_r05,2019-05-22,-12.178071183098094,-34.60382192912362
cn_zhangbei_r01,2019-05-22,-11.359910271475387,-29.876097008443313
cn_zhangbei_r06,2019-05-22,-8.114903978466636,-18.5472930790989
cn_zhangbei_r07,2019-05-22,-9.94280911804229,-24.276556384442333
cn_zhangbei_r02,2019-05-22,-12.55121403306108,-26.957848721779392
cn_zhangbei_r03,2019-06-03,-12.095713427094726,-25.61498511941604
cn_zhangbei_r05,2019-06-03,-11.377903556789517,-26.43638727067744
cn_zhangbei_r01,2019-06-03,-10.958836308596108,-23.292748433884764
cn_zhangbei_r06,2019-06-03,-8.392705509761997,-18.342566045661034
cn_zhangbei_r07,2019-06-03,-10.313156303824345,-20.722739075948656
cn_zhangbei_r02,2019-06-03,-12.016337867234283,-21.226230151061053
cn_zhangbei_r03,2019-06-15,-12.089008861871575,-23.354498744542074
cn_zhangbei_r05,2019-06-15,-11.881432192927509,-24.03501006422109
cn_zhangbei_r01,2019-06-15,-11.552065768578483,-22.204288094136093
cn_zhangbei_r06,2019-06-15,-7.358174332354846,-16.20016195719409
cn_zhangbei_r07,2019-06-15,-9.860238310740028,-19.72895169904451
cn_zhangbei_r02,2019-06-15,-12.370653744048955,-20.929540550217155
cn_zhangbei_r03,2019-06-27,-7.67724019267647,-16.893556755561267
cn_zhangbei_r05,2019-06-27,-8.059821519056767,-16.9696026516791
cn_zhangbei_r01,2019-06-27,-7.311468007382095,-16.170938125116834
cn_zhangbei_r06,2019-06-27,-5.227175473308554,-12.97680792893675
cn_zhangbei_r07,2019-06-27,-7.684950077363126,-12.886723381720461
cn_zhangbei_r02,2019-06-27,-8.142288536507746,-13.587063200823891
cn_zhangbei_r03,2019-07-09,-11.437133705465756,-21.21881797434381
cn_zhangbei_r05,2019-07-09,-12.188014685521662,-21.22630964926003
cn_zhangbei_r01,2019-07-09,-10.714520097729109,-21.294023992432486
cn_zhangbei_r06,2019-07-09,-8.142446746777642,-17.610587934850855
cn_zhangbei_r07,2019-07-09,-9.677267243656846,-18.896344754851924
cn_zhangbei_r02,2019-07-09,-11.405854639366499,-19.219657958439743
cn_zhangbei_r03,2019-07-21,-11.853158259116343,-16.809519115624482
cn_zhangbei_r05,2019-07-21,-13.152153179122259,-20.07681052438384
cn_zhangbei_r01,2019-07-21,-10.250487231805385,-19.192976589390067
cn_zhangbei_r06,2019-07-21,-8.506349336330839,-17.601107811155444
cn_zhangbei_r07,2019-07-21,-9.951993864885084,-17.001385492167223
cn_zhangbei_r02,2019-07-21,-10.821161028943838,-17.84922979935472
cn_zhangbei_r03,2019-08-02,-12.935923401469486,-20.114198997506396
cn_zhangbei_r05,2019-08-02,-13.708941237362877,-19.98441845895098
cn_zhangbei_r01,2019-08-02,-10.323390858822972,-18.10354820319474
cn_zhangbei_r06,2019-08-02,-7.43355479737534,-13.651718826584078
cn_zhangbei_r07,2019-08-02,-9.597356019656784,-15.409723102034631
cn_zhangbei_r02,2019-08-02,-11.230349499954722,-18.4302262869901
cn_zhangbei_r03,2019-08-14,-12.687397094970583,-20.093871240250476
cn_zhangbei_r05,2019-08-14,-13.151322772399247,-20.06738010986398
cn_zhangbei_r01,2019-08-14,-11.070886475207182,-20.03737724641164
cn_zhangbei_r06,2019-08-14,-8.583485336403628,-17.076849627629866
cn_zhangbei_r07,2019-08-14,-10.100329906205099,-17.504267356776452
