ym,VV:cn_qingyang_r03,VV:cn_qingyang_r07,VV:cn_qingyang_r11,VV:cn_qingyang_r12,VH:cn_qingyang_r03,VH:cn_qingyang_r07,VH:cn_qingyang_r11,VH:cn_qingyang_r12
2025-12,-3.022413899436121,-3.1529394626112763,-8.376641871419098,-1.6620837483542217,-15.758968709247977,-20.033464107876355,-22.006834965364035,-15.571201282071339
2026-01,-2.893810448806873,-1.946381580012652,-6.582405764392388,-0.6763423575611999,-15.877723388404995,-18.455755336433995,-20.633419384369795,-14.918264419354557
2026-02,-2.5271016577171497,-2.6553476500428386,-6.593932222983088,-1.424548957778037,-14.376462142165208,-19.326052336293714,-19.96080410177746,-14.378169115753476
2026-03,-2.414296187585719,-2.1576223503007066,-7.110952532064735,-0.6611691568881232,-14.649855936518222,-18.679683308068597,-20.13453421739738,-14.472387755752045
2026-04,-2.7498763106912865,-2.3195782861454006,-7.07942332431671,-0.6937525511756863,-14.988342083536178,-19.505141120818887,-20.833322060794625,-15.540097367524476
2026-05,-1.8490667981207,-1.1034188189101515,-2.2063126362620262,-0.8359318626111545,-14.206547811319119,-17.156166608863433,-15.336345378112126,-15.00417056670283
2026-06,-1.9653934108119857,-1.1629146708335365,-0.07228294600203597,-1.4678094455147224,-14.07002541947056,-17.088086572183016,-13.698817667157478,-15.069018815169958
2026-07,-2.223445715314398,-1.0491873019090352,1.384601031936199,-0.773055238451381,-13.745101687354977,-16.34723342972542,-12.208449199275801,-14.897426255734317
2026-08,-2.2211535914773974,-0.3077208172655537,0.960056279483438,-0.8293608381604467,-13.414046233638935,-14.886057836003644,-11.838941617782748,-14.655542570937936
2026-09,-2.792147238068259,-0.40720407776246387,3.03583718980326,2.2811599596341074,-14.51557134306357,-14.523200402497471,-11.138806218888725,-13.25089402081364
