site_id,product_id,datetime_utc,ptype,reason,n_valid_bg,n_total_bg,polygon,n_valid_poly,n_total_poly
colossus_memphis,ECOv002_L2T_LSTE_30963_005_16SBD_20231222T093819_0711_01,2023-12-22T09:38:19+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30963_005_15SYU_20231222T093819_0712_02,2023-12-22T09:38:19+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30963_005_16SBD_20231222T093819_0712_02,2023-12-22T09:38:19+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30963_006_16SBD_20231222T093911_0712_02,2023-12-22T09:39:11+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30963_006_16SBD_20231222T093911_0711_01,2023-12-22T09:39:11+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31044_006_16SBD_20231227T152208_0712_02,2023-12-27T15:22:08+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31044_006_15SYU_20231227T152208_0711_01,2023-12-27T15:22:08+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31044_006_15SYU_20231227T152208_0712_02,2023-12-27T15:22:08+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31105_004_16SBD_20231231T134644_0711_01,2023-12-31T13:46:44+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31105_004_15SYU_20231231T134644_0711_01,2023-12-31T13:46:44+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31105_004_15SYU_20231231T134644_0712_02,2023-12-31T13:46:44+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31105_004_16SBD_20231231T134644_0712_02,2023-12-31T13:46:44+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31227_006_15SYU_20240108T103220_0711_01,2024-01-08T10:32:20+00:00,all,background_too_cloudy,6.0,1943.0,,,
colossus_memphis,ECOv002_L2T_LSTE_31227_006_16SBD_20240108T103220_0711_01,2024-01-08T10:32:20+00:00,all,background_too_cloudy,5.0,1934.0,,,
colossus_memphis,ECOv002_L2T_LSTE_31238_004_15SYU_20240109T031224_0711_01,2024-01-09T03:12:24+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31273_009_15SYU_20240111T094250_0711_01,2024-01-11T09:42:50+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31299_007_15SYU_20240113T013524_0711_01,2024-01-13T01:35:24+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31360_006_15SYU_20240116T235953_0711_01,2024-01-16T23:59:53+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31360_007_15SYU_20240117T000045_0711_01,2024-01-17T00:00:45+00:00,all,background_too_cloudy,303.0,1943.0,,,
colossus_memphis,ECOv002_L2T_LSTE_31360_007_16SBD_20240117T000045_0711_01,2024-01-17T00:00:45+00:00,all,background_too_cloudy,292.0,1934.0,,,
colossus_memphis,ECOv002_L2T_LSTE_31436_006_16SBD_20240121T213712_0711_01,2024-01-21T21:37:12+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_31436_006_15SYU_20240121T213712_0711_01,2024-01-21T21:37:12+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_32260_006_16SBD_20240315T005411_0711_01,2024-03-15T00:54:11+00:00,all,no_valid_lst_in_window,,,,,
