site_id,product_id,datetime_utc,ptype,reason,polygon,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg
lulea,LC08_L1TP_193014_20210309_20210317_01_T1,2021-03-09T09:58:53.212980+00:00,all,background_too_cloudy,,,,1326.0,8861.0
lulea,LC08_L1TP_194014_20210316_20210328_01_T1,2021-03-16T10:04:59.600304+00:00,hall,polygon_too_cloudy,hall_north,6.0,61.0,3490.0,8861.0
lulea,LC08_L1TP_194014_20210316_20210328_01_T1,2021-03-16T10:04:59.600304+00:00,hall,polygon_too_cloudy,hall_south,0.0,87.0,3490.0,8861.0
lulea,LC08_L1TP_191014_20210428_20210507_01_T1,2021-04-28T09:46:11.289657+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_194014_20210503_20210508_01_T1,2021-05-03T10:04:40.426749900+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_193014_20210512_20210524_01_T1,2021-05-12T09:58:31.496166+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20210514_20210524_01_T1,2021-05-14T09:46:11.246567+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20210528_20210607_01_T1,2021-05-28T09:58:41.216772+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20210530_20210608_01_T1,2021-05-30T09:46:20.569168+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20210613_20210622_01_T1,2021-06-13T09:58:47.982302+00:00,hall,polygon_too_cloudy,hall_north,18.0,61.0,4844.0,8861.0
lulea,LC08_L1TP_193014_20210629_20210707_01_T1,2021-06-29T09:58:51.891014900+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20210701_20210708_01_T1,2021-07-01T09:46:30.536581+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20210708_20210713_01_T1,2021-07-08T09:52:41.993120+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20210717_20210729_01_T1,2021-07-17T09:46:32.285509+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20210724_20210729_01_T1,2021-07-24T09:52:47.177492+00:00,all,background_too_cloudy,,,,397.0,8861.0
lulea,LC08_L1TP_191014_20210802_20210811_01_T1,2021-08-02T09:46:40.707316+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_194014_20210823_20210831_01_T1,2021-08-23T10:05:20.149223+00:00,all,background_too_cloudy,,,,0.0,8861.0
nsa_utah,LC08_L1TP_038032_20140612_20170306_01_T1,2014-06-12T18:07:53.960692+00:00,hall,polygon_too_cloudy,technical_strip,20.0,114.0,7647.0,14574.0
nsa_utah,LC08_L1TP_038032_20140612_20170306_01_T1,2014-06-12T18:07:53.960692+00:00,substation,polygon_too_cloudy,substation_east,0.0,15.0,7647.0,14574.0
nsa_utah,LC08_L1TP_038032_20141103_20170303_01_T1,2014-11-03T18:08:24.440737+00:00,all,background_too_cloudy,,,,0.0,14574.0
